yolov3-custom
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Resizing
512
Loaded: 0.000083 seconds
Region 82 Avg IOU: 0.241519, Class: 0.561354, Obj: 0.488097, No Obj: 0.498673, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.524566, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.216579, Class: 0.507563, Obj: 0.530862, No Obj: 0.499394, .5R: 0.166667, .75R: 0.000000,  count: 6
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.525079, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.270917, Class: 0.446515, Obj: 0.631592, No Obj: 0.499934, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.523854, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.222100, Class: 0.493375, Obj: 0.570982, No Obj: 0.500514, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.524024, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.262231, Class: 0.421417, Obj: 0.436810, No Obj: 0.497250, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.523991, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.161940, Class: 0.735784, Obj: 0.347234, No Obj: 0.498602, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.294783, Class: 0.072014, Obj: 0.259621, No Obj: 0.523154, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.241136, Class: 0.606774, Obj: 0.521541, No Obj: 0.499693, .5R: 0.000000, .75R: 0.000000,  count: 9
Region 94 Avg IOU: 0.261202, Class: 0.501825, Obj: 0.330735, No Obj: 0.525127, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.249116, Class: 0.568661, Obj: 0.814353, No Obj: 0.498856, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.523945, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.131125, Class: 0.609047, Obj: 0.577636, No Obj: 0.498983, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.524353, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.216901, Class: 0.484693, Obj: 0.557199, No Obj: 0.499013, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.524110, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.103142, Class: 0.542328, Obj: 0.713847, No Obj: 0.498791, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.524277, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.055512, Class: 0.520300, Obj: 0.553590, No Obj: 0.499292, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.107721, Class: 0.506067, Obj: 0.442540, No Obj: 0.524166, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.306528, Class: 0.716692, Obj: 0.525836, No Obj: 0.498311, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.524664, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.110313, Class: 0.438619, Obj: 0.651503, No Obj: 0.500451, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.524133, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.369812, Class: 0.396725, Obj: 0.617836, No Obj: 0.500510, .5R: 0.400000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.524847, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.250440, Class: 0.547431, Obj: 0.508696, No Obj: 0.499230, .5R: 0.000000, .75R: 0.000000,  count: 10
