yolov3-custom
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Resizing
576
Loaded: 0.000073 seconds
Region 82 Avg IOU: 0.693884, Class: 0.994837, Obj: 0.331291, No Obj: 0.001363, .5R: 1.000000, .75R: 0.500000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000027, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.588923, Class: 0.990310, Obj: 0.284426, No Obj: 0.001346, .5R: 0.600000, .75R: 0.200000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000018, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.733671, Class: 0.998380, Obj: 0.398313, No Obj: 0.001488, .5R: 1.000000, .75R: 0.250000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000019, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.695766, Class: 0.991827, Obj: 0.152415, No Obj: 0.001239, .5R: 1.000000, .75R: 0.200000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000029, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.693373, Class: 0.812042, Obj: 0.195474, No Obj: 0.001628, .5R: 1.000000, .75R: 0.250000,  count: 4
Region 94 Avg IOU: 0.675133, Class: 0.965756, Obj: 0.869184, No Obj: 0.000113, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.510332, Class: 0.996511, Obj: 0.358777, No Obj: 0.001572, .5R: 0.500000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000022, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.769595, Class: 0.915518, Obj: 0.348974, No Obj: 0.001330, .5R: 1.000000, .75R: 0.800000,  count: 5
Region 94 Avg IOU: 0.393103, Class: 0.356653, Obj: 0.000635, No Obj: 0.000028, .5R: 0.000000, .75R: 0.000000,  count: 1
