yolov3-custom
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Loaded: 1.621513 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.341886, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.127551, Class: 0.436399, Obj: 0.625148, No Obj: 0.459509, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.339585, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.064775, Class: 0.603528, Obj: 0.616575, No Obj: 0.459653, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.343502, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.015797, Class: 0.662030, Obj: 0.668082, No Obj: 0.459258, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.338827, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.191551, Class: 0.558192, Obj: 0.603242, No Obj: 0.459362, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.336505, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.156079, Class: 0.431068, Obj: 0.603406, No Obj: 0.458624, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.340179, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.139486, Class: 0.593854, Obj: 0.536489, No Obj: 0.459132, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.341922, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.072646, Class: 0.947054, Obj: 0.665978, No Obj: 0.460085, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.347527, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.138035, Class: 0.676952, Obj: 0.525257, No Obj: 0.459466, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.341227, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.061235, Class: 0.887753, Obj: 0.688841, No Obj: 0.458550, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: 0.032710, Class: 0.229472, Obj: 0.624008, No Obj: 0.337627, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 93 Avg IOU: 0.044463, Class: 0.871418, Obj: 0.681538, No Obj: 0.459497, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.351003, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.045360, Class: 0.711793, Obj: 0.574905, No Obj: 0.459397, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.339925, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.143888, Class: 0.371161, Obj: 0.672488, No Obj: 0.459304, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.336887, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.021064, Class: 0.887996, Obj: 0.791175, No Obj: 0.458320, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.339587, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.071168, Class: 0.545950, Obj: 0.731839, No Obj: 0.459109, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.337215, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.092960, Class: 0.663132, Obj: 0.659462, No Obj: 0.459342, .5R: 0.000000, .75R: 0.000000,  count: 9
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.346621, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.123474, Class: 0.608629, Obj: 0.611799, No Obj: 0.460758, .5R: 0.000000, .75R: 0.000000,  count: 6
1: 667.721741, 667.721741 avg, 0.000000 rate, 12.583103 seconds, 64 images
Loaded: 0.000061 seconds
Region 82 Avg IOU: 0.269967, Class: 0.247970, Obj: 0.515479, No Obj: 0.332625, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 93 Avg IOU: 0.240330, Class: 0.474341, Obj: 0.439862, No Obj: 0.458884, .5R: 0.200000, .75R: 0.000000,  count: 5
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.346408, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.265114, Class: 0.384457, Obj: 0.493364, No Obj: 0.459654, .5R: 0.000000, .75R: 0.000000,  count: 11
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.346569, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.153280, Class: 0.456143, Obj: 0.598669, No Obj: 0.459274, .5R: 0.000000, .75R: 0.000000,  count: 13
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.345473, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.049630, Class: 0.870325, Obj: 0.704791, No Obj: 0.458527, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.337732, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.028376, Class: 0.853300, Obj: 0.628904, No Obj: 0.459297, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.344679, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.108105, Class: 0.691849, Obj: 0.643228, No Obj: 0.459527, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.338996, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.121102, Class: 0.641227, Obj: 0.635391, No Obj: 0.460284, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.338655, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.123099, Class: 0.737098, Obj: 0.605235, No Obj: 0.458906, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.337602, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.108831, Class: 0.546124, Obj: 0.726660, No Obj: 0.459583, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.351455, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.008641, Class: 0.986071, Obj: 0.654719, No Obj: 0.461124, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.344550, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.143379, Class: 0.553943, Obj: 0.542638, No Obj: 0.459563, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.338629, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.118228, Class: 0.723315, Obj: 0.571305, No Obj: 0.459950, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.345163, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.060438, Class: 0.609903, Obj: 0.605978, No Obj: 0.459900, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.347822, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.254729, Class: 0.551946, Obj: 0.374644, No Obj: 0.460411, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.333210, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.033633, Class: 0.795529, Obj: 0.681000, No Obj: 0.460028, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.344555, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.126096, Class: 0.695728, Obj: 0.638772, No Obj: 0.459119, .5R: 0.000000, .75R: 0.000000,  count: 4
2: 668.166443, 667.766235 avg, 0.000000 rate, 10.615472 seconds, 128 images
Loaded: 0.000081 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.345046, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.129211, Class: 0.764159, Obj: 0.623047, No Obj: 0.458334, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.335205, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.017943, Class: 0.779984, Obj: 0.691281, No Obj: 0.459671, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.331077, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.282576, Class: 0.455044, Obj: 0.397445, No Obj: 0.459140, .5R: 0.153846, .75R: 0.000000,  count: 13
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.344177, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.094720, Class: 0.497801, Obj: 0.637214, No Obj: 0.459063, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.342714, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.017563, Class: 0.731292, Obj: 0.681175, No Obj: 0.459752, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.341320, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.173687, Class: 0.531045, Obj: 0.621860, No Obj: 0.460162, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.331853, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.095907, Class: 0.692090, Obj: 0.712994, No Obj: 0.459005, .5R: 0.000000, .75R: 0.000000,  count: 4
